ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
6015	Hs.528821	Sperm associated antigen 17		SPAG17	AA608775	
6016	Data not found			NA	AA608824	
6017	Data not found			NA	AA608832	
6018	Data not found			NA	AA608841	
6019	Hs.559531	Transcribed locus		NA	AA608845	
6020	Hs.112603	Transcribed locus		NA	AA608852	
6021	Hs.496613	BMI1 polycomb ring finger oncogene		BMI1	AA608856	
6022	Hs.532711	Testis-specific serine kinase 6		TSSK6	AA608857	
6023	Hs.121554	Cystatin 9-like (mouse)	"The cystatin superfamily encompasses proteins that contain multiple cystatin-like sequences. Some of the members are active cysteine protease inhibitors, while others have lost or perhaps never acquired this inhibitory activity. There are three inhibitory families in the superfamily, including the type 1 cystatins (stefins), type 2 cystatins and the kininogens. The type 2 cystatin proteins are a class of cysteine proteinase inhibitors found in a variety of human fluids and secretions. The cystatin locus on chromosome 20 contains the majority of the type 2 cystatin genes and pseudogenes. This gene is located in the cystatin locus and encodes a protein similar to mouse cystatin 9. Based on its testis-specific expression, it is likely to have a role in tissue reorganization during early testis development."	CST9L	AA608859	
6024	Hs.600550	Transcribed locus		NA	AA608863	
6025	Hs.663993	Transcribed locus		NA	AA608869	
6026	Hs.528513	Transcribed locus		NA	AA608871	
6027	Hs.435771	Apoptosis inhibitor 5		API5	AA608881	
6028	Hs.663995	Transcribed locus		NA	AA608883	
6029	Hs.127473	Zinc finger family member 788		ZNF788	AA608898	
6030	Hs.570295	Transcribed locus		NA	AA608902	
6031	Hs.332843	Transcribed locus		NA	AA608907	
6032	Data not found			NA	AA608923	
6033	Hs.112623	Transcribed locus		NA	AA608977	
6034	Hs.647494	"Testis specific protein, Y-linked 1"		TSPY1	AA608988	
6035	Hs.634497	Transcribed locus		NA	AA609002	
6036	Hs.519514	Tripartite motif-containing 36	"The protein encoded by this gene is a member of the tripartite motif (TRIM) family. The TRIM motif includes three zinc-binding domains, a RING, a B-box type 1 and a B-box type 2, and a coiled-coil region. Multiple alternatively spliced transcript variants that encode different protein isoforms have been described for this gene."	TRIM36	AA609106	
6037	Data not found			NA	AA609122	
6038	Hs.150107	Baculoviral IAP repeat-containing 6 (apollon)	"This gene encodes a protein with a BIR (baculoviral inhibition of apoptosis protein repeat) domain and a UBCc (ubiquitin-conjugating enzyme E2, catalytic) domain. This protein inhibits apoptosis by facilitating the degradation of apoptotic proteins by ubiquitination."	BIRC6	AA609134	
6039	Hs.520619	Pseudouridylate synthase 7 homolog (S. cerevisiae)		PUS7	AA609161	
6040	Data not found			NA	AA609170	
6041	Hs.112662	Transcribed locus		NA	AA609202	
6042	Hs.309176	Hypothetical protein LOC283050		LOC283050	AA609206	
6043	Hs.112667	"Dynein, axonemal, intermediate chain 1"	"The inner- and outer-arm dyneins, which bridge between the doublet microtubules in axonemes, are the force-generating proteins responsible for the sliding movement in axonemes. The intermediate and light chains, thought to form the base of the dynein arm, help mediate attachment and may also participate in regulating dynein activity. This gene encodes an intermediate chain dynein, belonging to the large family of motor proteins. Mutations in this gene result in abnormal ciliary ultrastructure and function associated with primary ciliary dyskinesia (PCD) and Kartagener syndrome."	DNAI1	AA609218	
6044	Hs.634501	Transcribed locus		NA	AA609232	
6045	Hs.662963	Transcribed locus		NA	AA609246	
6046	Hs.112674	Transcribed locus		NA	AA609251	
6047	Hs.600566	"Transcribed locus, moderately similar to XP_515456.2 hypothetical protein isoform 2 [Pan troglodytes]"		NA	AA609282	
6048	Hs.380089	EPH receptor B6	"Ephrin receptors and their ligands, the ephrins, mediate numerous developmental processes, particularly in the nervous system. Based on their structures and sequence relationships, ephrins are divided into the ephrin-A (EFNA) class, which are anchored to the membrane by a glycosylphosphatidylinositol linkage, and the ephrin-B (EFNB) class, which are transmembrane proteins. The Eph family of receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. Ephrin receptors make up the largest subgroup of the receptor tyrosine kinase (RTK) family. The ephrin receptor encoded by this gene lacks the kinase activity of most receptor tyrosine kinases and binds to ephrin-B ligands."	EPHB6	AA609284	
6049	Hs.112679	Transcribed locus		NA	AA609289	
6050	Data not found			NA	AA609292	
6051	Hs.602454	"Transcribed locus, strongly similar to XP_375698.3 SH2 domain containing 5 [Homo sapiens]"		NA	AA609300	
6052	Hs.411419	Transcribed locus		NA	AA609304	
6053	Data not found			NA	AA609311	
6054	Hs.664004	Transcribed locus		NA	AA609323	
6055	Hs.180696	Transcribed locus		NA	AA609332	
6056	Hs.159043	Hypothetical protein LOC151658		LOC151658	AA609334	
6057	Hs.600568	Transcribed locus		NA	AA609338	
6058	Data not found			NA	AA609364	
6059	Hs.112699	Transcribed locus		NA	AA609368	
6060	Hs.633609	Transcribed locus		NA	AA609415	
6061	Hs.533355	"Membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)"	"Members of the peripheral membrane-associated guanylate kinase (MAGUK) family function in tumor suppression and receptor clustering by forming multiprotein complexes containing distinct sets of transmembrane, cytoskeletal, and cytoplasmic signaling proteins. All MAGUKs contain a PDZ-SH3-GUK core and are divided into 4 subfamilies, DLG-like (see DLG1; MIM 601014), ZO1-like (see TJP1; MIM 601009), p55-like (see MPP1; MIM 305360), and LIN2-like (see CASK; MIM 300172), based on their size and the presence of additional domains. MPP6 is a member of the p55-like MAGUK subfamily (Tseng et al., 2001).[supplied by OMIM]"	MPP6	AA609421	
6062	Hs.654711	Protein (peptidylprolyl cis/trans isomerase) NIMA-interacting 1-like		PIN1L	AA609422	
6063	Hs.656140	"Tubulin tyrosine ligase-like family, member 11"		TTLL11	AA609430	
6064	Data not found			NA	AA609432	
6065	Hs.98265	"ST6 beta-galactosamide alpha-2,6-sialyltranferase 2"	"Sialyltransferases such as beta-galactoside alpha-2,6-sialyltransferase II (ST6GalII; EC 2.4.99.1) are type 2 transmembrane proteins that catalyze the transfer of sialic acid from CMP-sialic acid to an acceptor carbohydrate, usually to the terminal ends of carbohydrate chains.[supplied by OMIM]"	ST6GAL2	AA609458	
6066	Hs.373947	Kinesin family member 9		KIF9	AA609473	
6067	Hs.523969	Transcribed locus		NA	AA609474	
6068	Hs.112715	"Transcribed locus, strongly similar to XP_001135081.1 hypothetical protein [Pan troglodytes]"		NA	AA609483	
6069	Hs.600574	Transcribed locus		NA	AA609485	
6070	Hs.501423	Transcribed locus		NA	AA609511	
6071	Hs.112720	Transcribed locus		NA	AA609551	
6072	Hs.535619	LIM and senescent cell antigen-like domains 3		LIMS3	AA609556	
6073	Data not found			NA	AA609566	
6074	Hs.62880	"Mov10l1, Moloney leukemia virus 10-like 1, homolog (mouse)"	This gene is similar to a mouse gene that encodes a putative RNA helicase and shows testis-specific expression.	MOV10L1	AA609579	
6075	Hs.374945	Transcribed locus		NA	AA609584	
6076	Hs.527874	Coiled-coil domain containing 131		CCDC131	AA609585	
6077	Hs.568874	"Transcribed locus, strongly similar to XP_529329.1 hypothetical protein XP_529329 [Pan troglodytes]"		NA	AA609594	
6078	Hs.492407	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	"This gene product belongs to the 14-3-3 family of proteins which mediate signal transduction by binding to phosphoserine-containing proteins. This highly conserved protein family is found in both plants and mammals, and this protein is 99% identical to the mouse, rat and sheep orthologs. The encoded protein interacts with IRS1 protein, suggesting a role in regulating insulin sensitivity. Two transcript variants differing in the 5' UTR, but encoding the same protein, have been identified for this gene."	YWHAZ	AA609598	
6079	Hs.558445	"Synovial sarcoma, X breakpoint 3"	"The product of this gene belongs to the family of highly homologous synovial sarcoma X (SSX) breakpoint proteins. These proteins may function as transcriptional repressors. They are also capable of eliciting spontaneously humoral and cellular immune responses in cancer patients, and are potentially useful targets in cancer vaccine-based immunotherapy. SSX1, SSX2 and SSX4 genes have been involved in the t(X;18) translocation characteristically found in all synovial sarcomas. This gene appears not to be involved in this type of chromosome translocation. Two transcript variants encoding distinct isoforms have been identified for this gene."	SSX3	AA609599	
6080	Hs.655320	Chromosome 8 open reading frame 40		C8orf40	AA609600	
6081	Hs.112731	Transcribed locus		NA	AA609605	
6082	Hs.664009	Transcribed locus		NA	AA609606	
6083	Hs.404758	"Transcribed locus, moderately similar to XP_341751.3 similar to methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like [Rattus norvegicus]"		NA	AA609608	
6084	Hs.94542	"AlkB, alkylation repair homolog 1 (E. coli)"	"This gene encodes a homolog to the E. coli alkB gene product. The E. coli alkB protein is part of the adaptive response mechanism of DNA alkylation damage repair; however, its precise biochemical function is not clear."	ALKBH1	AA609609	
6085	Hs.176247	Transcribed locus		NA	AA609627	
6086	Hs.518179	Transcribed locus		NA	AA609628	
6087	Hs.662218	"CDNA FLJ46166 fis, clone TESTI4002889"		NA	AA609630	
6088	Hs.664010	Transcribed locus		NA	AA609632	
6089	Hs.664011	F-box protein 15	"Members of the F-box protein family, such as FBXO15, are characterized by an approximately 40-amino acid F-box motif. SCF complexes, formed by SKP1 (MIM 601434), cullin (see CUL1; MIM 603134), and F-box proteins, act as protein-ubiquitin ligases. F-box proteins interact with SKP1 through the F box, and they interact with ubiquitination targets through other protein interaction domains (Jin et al., 2004).[supplied by OMIM]"	FBXO15	AA609640	
6090	Hs.112740	CDNA clone IMAGE:5170949		NA	AA609647	
6091	Data not found			NA	AA609648	
6092	Hs.507676	Hypothetical LOC441027		FLJ12993	AA609651	
6093	Hs.112743	Synaptonemal complex protein 1		SYCP1	AA609655	
6094	Hs.149004	"CDNA FLJ32805 fis, clone TESTI2002690"		NA	AA609657	
6095	Hs.660384	"Solute carrier family 35, member E4"		SLC35E4	AA609661	
6096	Hs.121347	Chromosome 10 open reading frame 82		C10orf82	AA609666	
6097	Hs.473374	Transcribed locus		NA	AA609684	
6098	Hs.239181	Chromosome 6 open reading frame 194		C6orf194	AA609686	
6099	Hs.112750	Transcribed locus		NA	AA609695	
6100	Data not found			NA	AA609720	
6101	Hs.540787	Transcribed locus		NA	AA609734	
6102	Hs.656096	Transcribed locus		NA	AA609738	
6103	Hs.450175	Katanin p60 (ATPase-containing) subunit A 1	"Microtubules, polymers of alpha and beta tubulin subunits, form the mitotic spindle of a dividing cell and help to organize membranous organelles during interphase. Katanin is a heterodimer that consists of a 60 kDa ATPase (p60 subunit A 1) and an 80 kDa accessory protein (p80 subunit B 1). The p60 subunit acts to sever and disassemble microtubules, while the p80 subunit targets the enzyme to the centrosome. This gene encodes the p80 subunit. This protein is a member of the AAA family of ATPases."	KATNA1	AA609740	
6104	Hs.664012	Transcribed locus		NA	AA609746	
6105	Hs.51120	Cathelicidin antimicrobial peptide	Cathelicidin antimicrobial protein is an antimicrobial protein found in specific granules of polymorphonuclear leukocytes (PMNs).[supplied by OMIM]	CAMP	AA609759	
6106	Hs.112761	"Ribonuclease, RNase A family, 11 (non-active)"		RNASE11	AA609760	
6107	Hs.501286	Chromosome 10 open reading frame 88		C10orf88	AA609770	
6108	Hs.110069	Hypothetical protein FLJ37659		RP1-32F7.2	AA609774	
6109	Data not found			NA	AA609781	
6110	Hs.535972	Transcribed locus		NA	AA609783	
6111	Hs.593293	Adenylate cyclase 5		ADCY5	AA609785	
6112	Hs.370699	Hypothetical protein LOC284801		LOC284801	AA609850	
6113	Hs.269977	Hypothetical protein MGC26733		MGC26733	AA609861	
6114	Hs.598194	Transcribed locus		NA	AA609871	
6115	Hs.1176	"Solute carrier family 4, anion exchanger, member 3"		SLC4A3	AA609880	
6116	Data not found			NA	AA609884	
6117	Hs.655257	Chromosome 17 open reading frame 75		C17orf75	AA609904	
6118	Hs.600584	Transcribed locus		NA	AA609910	
6119	Hs.40582	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	"The protein encoded by this gene is a member of the dual specificity protein tyrosine phosphatase family. This protein is highly similar to Saccharomyces cerevisiae Cdc14, a protein tyrosine phosphatase involved in the exit of cell mitosis and initiation of DNA replication, which suggests the role in cell cycle control. This protein has been shown to interact with and dephosphorylates tumor suppressor protein p53, and is thought to regulate the function of p53. Alternative splice of this gene results in 3 transcript variants encoding distinct isoforms."	CDC14B	AA609927	
6120	Hs.112788	Transcribed locus		NA	AA609934	
6121	Hs.112789	Transcribed locus		NA	AA609935	
6122	Hs.664015	Transcribed locus		NA	AA609949	
6123	Hs.112791	Transcribed locus		NA	AA609951	
6124	Hs.444961	Transcribed locus		NA	AA609953	
6125	Hs.664016	"Transcribed locus, moderately similar to XP_222279.4 similar to squamous cell carcinoma antigen recognized by T-cells 3 [Rattus norvegicus]"		NA	AA609955	
6126	Hs.111850	Sperm mitochondria-associated cysteine-rich protein	"Sperm mitochondria differ in morphology and subcellular localization from those of somatic cells. They are elongated, flattened, and arranged circumferentially to form a helical coiled sheath in the midpiece of the sperm flagellum. The protein encoded by this gene localizes to the capsule associated with the mitochondrial outer membranes and is thought to function in the organization and stabilization of the helical structure of the sperm's mitochondrial sheath."	SMCP	AA609976	
